,着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
3,4,6,11,アピテソーロ,牡3,56.0,田辺裕信,2:02.4,1/2,**,7-8-6-7,37.7,33.6,8.0,490(+6),,,,[東]奥平雅士,了徳寺健二ホールディングス,77.0
4,5,3,4,グラスデスティーノ,牡3,56.0,木幡巧也,2:02.4,アタマ,**,7-8-8-8,37.5,23.2,6.0,482(+14),,,,[東]牧光二,半沢,51.0
5,6,4,7,トーセンワンダー,牡3,56.0,吉田豊,2:02.5,1/2,**,4-4-4-3,38.1,16.6,4.0,504(+4),,,,[東]古賀史生,島川隆哉,
6,7,7,12,ブレーナード,牡3,56.0,ミナリク,2:02.8,1.3/4,**,13-12-13-12,37.4,88.8,10.0,436(+10),,,,[東]高橋祥泰,吉田勝己,
7,8,7,13,ペルージュ,牝3,54.0,大野拓弥,2:03.1,1.3/4,**,14-14-15-14,37.5,148.8,13.0,416(-4),,,,[東]中川公成,岡田牧雄,
8,9,2,3,ディンブラ,牝3,54.0,北村宏司,2:03.2,1/2,**,12-12-13-12,37.8,75.9,9.0,476(+16),,,,[東]上原博之,ノースヒルズ,
9,10,5,8,マイネルラクスマン,牡3,56.0,柴田大知,2:03.3,1/2,**,1-1-1-1,39.3,15.7,3.0,500(+2),,,,[東]金成貴史,サラブレッドクラブ・ラフィアン,
10,11,1,1,タイガ,牡3,56.0,勝浦正樹,2:03.7,2.1/2,**,10-10-9-8,38.6,110.0,11.0,502(-4),,,,[東]柄崎孝,三度屋,
11,12,6,10,フェデネージュ,牝3,54.0,吉田隼人,2:04.0,2,**,6-4-4-3,39.6,121.2,12.0,434(+2),,,,[東]国枝栄,嶋田賢,
12,13,8,14,ブライドグルーム,牡3,56.0,石橋脩,2:04.3,1.3/4,**,2-2-2-2,40.1,7.1,2.0,450(-2),,,,[東]堀宣行,社台レースホース,
13,14,8,15,サンヘイワード,牡3,56.0,西田雄一,2:04.7,2.1/2,**,3-3-2-3,40.5,406.6,15.0,460(+4),,,,[東]青木孝文,加藤ステーブル,
14,15,3,5,トウカイマナ,牝3,54.0,柴田善臣,2:06.1,8,**,4-4-12-15,40.9,197.5,14.0,454(-8),,,,[東]菊川正達,内村正則,
0,1,7,13,マックスアン,牡4,56.0,マーフィ,1:54.9,,**,7-6-6-6,38.6,2.3,1.0,470(+2),,,,[東]大和田成,ＴＵＲＦレーシング,760.0
1,2,4,6,デストロイ,牡6,57.0,Ｍ．デム,1:54.9,ハナ,**,9-9-9-6,38.5,6.3,3.0,516(0),,,,[東]高橋裕,諸岡慶,300.0
2,3,5,9,ゴールドスミス,セ6,57.0,大野拓弥,1:55.5,3.1/2,**,14-13-12-10,38.8,5.1,2.0,524(+2),,,,[東]高柳瑞樹,ゴドルフィン,190.0
3,4,3,4,クロヒョウ,牡4,56.0,柴田善臣,1:55.5,クビ,**,2-2-2-2,39.7,91.9,11.0,486(-5),,,,[東]小西一男,河内孝夫,110.0
4,5,8,14,ビービーデフィ,セ5,57.0,酒井学,1:55.6,1/2,**,4-3-4-3,39.6,36.6,10.0,502(+2),,,,[東]小笠倫弘,坂東牧場,76.0
5,6,4,7,エフォートラン,牡5,57.0,木幡巧也,1:55.7,クビ,**,11-10-10-10,39.1,31.4,9.0,496(+6),,,,[東]牧光二,岡村善行,
6,7,8,15,アララトテソーロ,牡4,56.0,武藤雅,1:55.7,クビ,**,9-10-10-12,39.1,272.2,14.0,486(-2),,,,[東]和田雄二,了徳寺健二ホールディングス,
7,8,5,8,ユキノヴェルデ,牡4,56.0,北村宏司,1:56.0,1.1/2,**,5-6-6-8,39.7,21.3,7.0,508(-8),,,,[東]和田正一,井上基之,
8,9,7,12,アドマイヤヒビキ,牡5,57.0,ミナリク,1:56.0,クビ,**,2-3-3-3,40.1,18.3,6.0,568(+8),,,,[東]加藤征弘,近藤旬子,
9,10,6,11,ベルクカッツェ,牡5,56.0,野中悠太,1:56.1,クビ,**,12-12-13-13,39.2,178.9,13.0,488(+6),,,,[東]根本康広,田頭勇貴,
10,11,2,2,トラストシンゲン,牡4,55.0,菊沢一樹,1:56.7,3.1/2,**,5-3-4-3,40.7,366.2,15.0,506(-4),,,,[東]高木登,菅波雅巳,
11,12,6,10,ドーバーテソーロ,牡4,56.0,江田照男,1:56.9,1.1/4,**,7-6-6-8,40.6,7.1,4.0,490(-4),,,,[東]奥平雅士,了徳寺健二ホールディングス,
12,13,3,5,ナムラブル,牡4,56.0,横山典弘,1:57.2,2,**,13-13-15-15,39.7,25.9,8.0,478(+6),,,,[東]石栗龍彦,奈村信重,
13,14,2,3,タピゾー,牡6,57.0,田辺裕信,1:57.3,1/2,**,1-1-1-1,42.0,10.0,5.0,504(+12),,,,[東]菊川正達,大塚亮一,
14,15,1,1,ボーイズオブサマー,牡4,56.0,内田博幸,1:58.0,4,**,15-15-14-14,40.7,155.7,12.0,516(0),,,,[東]天間昭一,ノルマンディーサラブレッドレーシング,
0,1,4,7,オイデヤスダイジン,牝3,54.0,伊藤工真,1:13.3,,**,5-5,38.9,3.6,2.0,460(+2),,,,[東]金成貴史,ニットー商事,510.0
1,2,1,1,グルアーブ,牝3,54.0,柴田善臣,1:13.3,クビ,**,12-11,38.0,17.2,5.0,432(+4),,,,[東]林徹,ノルマンディーサラブレッドレーシング,200.0
2,3,2,3,トーレスデルパイネ,牝3,54.0,岩部純二,1:13.7,2.1/2,**,9-9,38.7,199.0,12.0,458(0),,,,[東]萱野浩二,ミルファーム,130.0
3,4,3,6,デュープス,牝3,54.0,武士沢友,1:13.8,クビ,**,6-6,39.2,50.4,8.0,418(0),,,,[東]星野忍,内田玄祥,77.0
4,5,6,12,ディヴィニティ,牝3,54.0,マーフィ,1:13.8,クビ,**,4-4,39.7,1.6,1.0,536(-2),,,,[東]加藤征弘,Ｊ．ウー,51.0
5,6,7,13,ノヘア,牝3,54.0,北村宏司,1:13.9,クビ,**,2-3,39.9,74.3,9.0,428(+8),,,,[東]伊藤大士,ニッシンホールディングス,
6,7,7,14,エクメディノツルギ,牝3,54.0,内田博幸,1:14.2,2,**,6-8,39.6,121.7,11.0,424(0),,,,[東]深山雅史,橋本慎太郎,
7,8,3,5,シンキングアイル,牝3,52.0,菅原明良,1:14.4,1.1/4,**,12-13,39.1,82.2,10.0,460(-2),,,,[東]武市康男,佐藤雄司,
8,9,5,10,ラヴアンドゲーム,牝3,54.0,大野拓弥,1:14.7,2,**,2-2,40.7,28.8,6.0,434(0),,,,[東]畠山吉宏,社台レースホース,
9,10,5,9,サノレーヌ,牝3,51.0,藤田菜七,1:14.8,1/2,**,1-1,40.9,9.5,3.0,438(0),,,,[東]尾形和幸,佐野信幸,
10,11,2,4,セルレア,牝3,53.0,菊沢一樹,1:14.9,1/2,**,6-6,40.2,14.5,4.0,464(+10),,,,[東]菊沢隆徳,パニオロ,
11,12,1,2,スルーザリミッツ,牝3,54.0,三浦皇成,1:14.9,ハナ,**,16-15,39.3,31.4,7.0,424(-4),,,,[東]高柳瑞樹,岡田牧雄,
12,13,8,15,ラブカワールド,牝3,51.0,小林凌大,1:15.3,2,**,15-16,39.9,474.2,15.0,436(+4),,,,[東]蛯名利弘,増田陽一,
13,14,8,16,シラカワカツコ,牝3,51.0,山田敬士,1:15.4,3/4,**,9-10,40.4,233.1,13.0,404(+4),,,,[東]伊藤伸一,大久保與志雄,
14,15,4,8,イズジョーボヌール,牝3,54.0,菅原隆一,1:15.6,1.1/2,**,12-13,40.3,561.3,16.0,450(+2),,,,[東]石栗龍彦,泉一郎,
15,16,6,11,コトブキノニ,牝3,54.0,横山和生,1:16.2,3.1/2,**,9-11,41.2,392.6,14.0,482(+18),,,,[東]佐藤吉勝,江川伸夫,
0,1,5,9,ウインアクティーボ,牡3,56.0,松岡正海,1:12.6,,**,3-3,37.6,2.2,1.0,492(0),,,,[東]高木登,ウイン,510.0
1,2,7,13,キョシンタンカイ,牡3,56.0,田辺裕信,1:12.6,クビ,**,1-1,37.9,6.3,3.0,502(+2),,,,[東]武市康男,國分純,200.0
2,3,8,16,ユタカサン,牡3,56.0,吉田豊,1:13.4,5,**,2-2,38.7,39.0,7.0,478(-10),,,,[東]竹内正洋,井山登,130.0
3,4,1,2,グランエクセレント,牡3,56.0,黛弘人,1:13.5,1/2,**,7-5,38.1,3.7,2.0,512(-4),,,,[東]石毛善彦,田畑利彦,77.0
4,5,7,14,ブラウンアイズ,牝3,54.0,宮崎北斗,1:13.7,1.1/4,**,5-6,38.4,270.6,11.0,516(0),,,,[東]萱野浩二,山上和良,51.0
5,6,6,11,ロワマージュ,牡3,56.0,北村宏司,1:13.9,1.1/4,**,10-11,38.2,11.1,5.0,484(-2),,,,[東]池上昌和,ゴドルフィン,
6,7,6,12,ホトダニー,牡3,54.0,木幡育也,1:13.9,クビ,**,10-9,38.2,16.4,6.0,452(-2),,,,[東]大江原哲,井上一郎,
7,8,1,1,ニシノカリウド,牡3,56.0,内田博幸,1:14.1,1,**,4-4,39.0,40.9,8.0,478(+8),,,,[東]水野貴広,西山茂行,
8,9,5,10,ナイトクリーガー,牡3,56.0,的場勇人,1:14.7,3.1/2,**,12-13,38.7,597.8,14.0,496(0),,,,[東]的場均,藤田孟司,
9,10,4,7,デルマカーネリアン,牡3,56.0,武藤雅,1:14.8,1/2,**,16-15,38.6,210.0,10.0,416(+2),,,,[東]堀井雅広,浅沼廣幸,
10,11,2,4,シゲルパンドラ,牝3,54.0,丸田恭介,1:14.9,1/2,**,7-8,39.5,284.6,12.0,468(0),,,,[東]浅野洋一,森中蕃,
11,12,3,6,ヴォールヴィコント,牝3,54.0,Ｍ．デム,1:14.9,クビ,**,5-6,39.7,6.5,4.0,494(+4),,,,[東]上原博之,栗山良子,
12,13,3,5,ルナランス,牝3,51.0,小林凌大,1:15.5,3.1/2,**,12-13,39.5,615.6,15.0,430(+6),,,,[東]武藤善則,前川企画,
13,14,8,15,サクセスリバース,牡3,56.0,石川裕紀,1:15.6,1/2,**,7-9,40.1,64.5,9.0,516(+8),,,,[東]中舘英二,高嶋哲,
14,15,4,8,ビクトリアワールド,牡3,55.0,菊沢一樹,1:15.8,1,**,12-11,39.8,798.9,16.0,424(-4),,,,[東]小桧山悟,入山和男,
15,16,2,3,レディーフラッシュ,牝3,54.0,武士沢友,1:16.6,5,**,12-15,40.6,333.2,13.0,478(+6),,,,[東]古賀史生,小林博雄,
0,1,7,14,タピオカ,牝3,54.0,木幡巧也,1:13.7,,**,1-1,37.7,19.9,6.0,494(+4),,,,[東]牧光二,清水牧場,510.0
1,2,8,15,ペルシャンジュエル,牝3,51.0,藤田菜七,1:14.0,1.3/4,**,14-14,36.8,5.0,3.0,440(+2),,,,[東]金成貴史,深澤朝房,200.0
2,3,3,5,クサヒバリ,牝3,54.0,マーフィ,1:14.0,クビ,**,2-2,37.9,3.7,2.0,436(-2),,,,[東]武井亮,那須野牧場,130.0
3,4,3,6,トリッチトラッチ,牝3,54.0,田辺裕信,1:14.1,1/2,**,8-7,37.5,2.5,1.0,426(-2),,,,[東]伊藤圭三,ライオンレースホース,77.0
4,5,1,1,ゴーゴーヘレンド,牝3,51.0,山田敬士,1:14.3,1,**,5-4,38.0,26.6,7.0,490(+4),,,,[東]林徹,上山牧,51.0
5,6,7,13,スパークジョイ,牝3,54.0,吉田豊,1:14.3,クビ,**,4-4,38.1,16.2,5.0,462(+4),,,,[東]古賀史生,西森功,
6,7,4,7,チェスナットロール,牝3,54.0,武藤雅,1:14.5,1,**,15-15,37.2,480.4,15.0,454(+12),,,,[東]浅野洋一,田頭勇貴,
7,8,6,11,サンキーウエスト,牝3,54.0,岩部純二,1:14.5,クビ,**,11-11,37.8,6.3,4.0,438(+2),,,,[東]萱野浩二,加藤ステーブル,
8,9,1,2,スローフード,牝3,54.0,北村宏司,1:14.5,ハナ,**,5-4,38.2,75.5,9.0,444(+8),,,,[東]田島俊明,村野康司,
9,10,6,12,ディムッター,牝3,54.0,江田照男,1:15.2,4,**,12-12,38.3,262.1,13.0,458(-6),,,,[東]佐藤吉勝,薪浦亨,
10,11,8,16,テイエムロング,牝3,54.0,武士沢友,1:15.5,1.3/4,**,16-16,38.0,255.1,12.0,412(0),,,,[東]石栗龍彦,竹園正繼,
11,12,4,8,プラチナビューティ,牝3,54.0,田中勝春,1:15.5,ハナ,**,8-7,39.0,27.5,8.0,436(0),,,,[東]宗像義忠,西城公雄,
12,13,5,9,イッツエルメス,牝3,53.0,菊沢一樹,1:15.6,クビ,**,7-7,39.2,161.9,11.0,466(+2),,,,[東]畠山吉宏,星加浩一,
13,14,2,4,アースレイナ,牝3,54.0,横山和生,1:15.9,2,**,2-2,39.8,89.1,10.0,416(+6),,,,[東]清水英克,松山増男,
14,15,2,3,ウェリナ,牝3,52.0,菅原明良,1:16.2,2,**,8-10,39.6,386.3,14.0,480(+4),,,,[東]中舘英二,ノースヒルズ,
15,16,5,10,デルマジルコン,牝3,54.0,菅原隆一,1:16.5,1.3/4,**,12-13,39.6,636.7,16.0,438(-4),,,,[東]堀井雅広,浅沼廣幸,
0,1,8,15,サザンレインボー,牡3,56.0,丸山元気,1:12.1,,**,1-1,37.3,3.9,3.0,542(+22),,,,[東]高柳瑞樹,キャロットファーム,510.0
1,2,3,6,シルバージャック,牡3,53.0,藤田菜七,1:12.4,1.3/4,**,3-2,37.4,3.1,2.0,492(-2),,,,[東]和田正一,阿津昌弘,200.0
2,3,8,16,ゼンダンロマン,牡3,56.0,松岡正海,1:13.7,8,**,11-9,38.0,77.5,9.0,452(0),,,,[東]藤原辰雄,渡邊善男,130.0
3,4,1,1,バルドダンサー,牡3,56.0,原田和真,1:13.8,3/4,**,6-4,38.5,14.4,5.0,460(+4),,,,[東]和田雄二,コスモヴューファーム,77.0
4,5,2,3,クリアミッション,牡3,56.0,大庭和弥,1:14.0,1.1/4,**,9-9,38.4,138.6,12.0,504(-6),,,,[東]土田稔,大原詔宏,51.0
5,6,4,7,タニセンシロッコ,牡3,56.0,江田照男,1:14.1,1/2,**,4-4,39.0,133.1,11.0,446(-2),,,,[東]加藤士津,染谷幸雄,
6,7,7,14,ゴラッソゴール,牡3,54.0,菅原明良,1:14.2,1/2,**,6-7,38.8,6.8,4.0,466(-2),,,,[東]武市康男,東海林貴大,
7,8,2,4,レインボービーム,牡3,56.0,横山和生,1:14.4,1.1/4,**,12-12,38.5,304.5,15.0,470(0),,,,[東]加藤和宏,北原光一郎,
8,9,6,12,ロマンスピネル,牝3,54.0,柴田善臣,1:14.5,3/4,**,4-4,39.4,82.5,10.0,440(0),,,,[東]田中剛,菅實,
9,10,5,9,パシスタ,牡3,56.0,宮崎北斗,1:14.7,1.1/4,**,2-2,39.8,23.6,6.0,488(0),,,,[東]高橋祥泰,山上和良,
10,11,3,5,トゥーヤング,牝3,51.0,山田敬士,1:15.1,2,**,9-9,39.5,296.1,14.0,438(+4),,,,[東]小桧山悟,三岡陽,
11,12,1,2,トミケンリューヤー,牡3,56.0,横山武史,1:15.2,1/2,**,6-7,39.9,31.0,7.0,498(+2),,,,[東]水野貴広,冨樫賢二,
12,13,7,13,ミコキャビンクルー,牝3,52.0,木幡育也,1:15.3,3/4,**,13-13,39.2,163.5,13.0,454(0),,,,[東]萱野浩二,古賀慎一,
13,14,6,11,シゲルエリス,牡3,56.0,田中勝春,1:15.5,1.1/4,**,13-15,39.3,36.3,8.0,482(+6),,,,[東]的場均,森中蕃,
14,15,5,10,エスケイムーン,セ3,56.0,武士沢友,1:15.8,2,**,16-16,39.4,516.9,16.0,436(-2),,,,[東]林徹,伊藤輔則,
15,16,4,8,ロイヤルパープル,牡3,56.0,マーフィ,1:16.0,3/4,**,13-13,39.9,3.1,1.0,516(+2),,,,[東]加藤征弘,ゴドルフィン,
0,1,1,1,クリスタルブラック,牡3,56.0,吉田豊,2:02.1,,**,8-11-10-10,35.4,20.9,7.0,476(+4),,,,[東]高橋文雅,岡田勇,"3,845.5"
1,2,8,12,スカイグルーヴ,牝3,54.0,ルメール,2:02.2,1/2,**,2-2-2-1,36.2,2.1,1.0,444(+4),,,,[東]木村哲也,シルクレーシング,"1,513.0"
2,3,6,7,ディアスティマ,牡3,56.0,シュタル,2:02.6,2.1/2,**,4-4-4-4,36.4,13.0,6.0,480(0),,,,[西]高野友和,サンデーレーシング,956.5
3,4,7,10,ビターエンダー,牡3,56.0,津村明秀,2:02.6,クビ,**,8-8-7-7,36.2,8.3,4.0,470(+12),,,,[東]相沢郁,ヒダカ・ブリーダーズ・ユニオン,570.0
4,5,5,5,キングオブドラゴン,牡3,56.0,田辺裕信,2:02.8,1.1/2,**,4-4-4-4,36.6,30.8,8.0,498(0),,,,[西]矢作芳人,窪田芳郎,380.0
5,6,2,2,リメンバーメモリー,牡3,56.0,大野拓弥,2:02.9,クビ,**,12-12-12-11,35.9,92.2,11.0,466(0),,,,[西]佐々木晶,前田晋二,
6,7,4,4,ロールオブサンダー,牡3,56.0,松山弘平,2:03.0,1/2,**,1-1-1-2,37.1,8.8,5.0,506(0),,,,[西]橋口慎介,桑畑隆信,
7,8,8,11,ヴィアメント,牡3,56.0,Ｍ．デム,2:03.3,2,**,8-8-7-7,36.9,35.5,9.0,488(+6),,,,[東]鹿戸雄一,社台レースホース,
8,9,5,6,ゼノヴァース,牡3,56.0,マーフィ,2:03.5,3/4,**,7-7-7-4,37.1,6.0,3.0,450(-12),,,,[東]藤沢和雄,フクキタル,
9,10,6,8,ヒュッゲ,牡3,56.0,和田竜二,2:03.8,2,**,2-2-2-3,37.8,5.6,2.0,464(-8),,,,[西]友道康夫,金子真人ホールディングス,
10,11,7,9,キムケンドリーム,牝3,54.0,石橋脩,2:03.9,1/2,**,4-6-4-7,37.7,67.5,10.0,436(-12),,,,[西]西村真幸,木村永浩,
11,12,3,3,チュウワジョーダン,牡3,56.0,丸山元気,2:05.8,大,**,8-8-10-12,39.2,295.0,12.0,458(+14),,,,[東]林徹,中西忍,
0,1,1,2,リーディングパート,牝3,54.0,マーフィ,1:36.3,,**,5-3-1,35.8,3.2,2.0,408(-8),,,,[東]矢野英一,キャロットファーム,510.0
1,2,6,11,ヴィディア,牝3,54.0,田辺裕信,1:36.3,クビ,**,13-9-7,35.0,9.5,5.0,454(+8),,,,[東]大竹正博,サンデーレーシング,200.0
2,3,6,12,セルフィー,牝3,54.0,ルメール,1:36.9,3.1/2,**,3-5-6,36.0,3.1,1.0,460(0),,,,[東]藤沢和雄,フクキタル,130.0
3,4,5,10,ステラドーロ,牝3,54.0,シュタル,1:37.0,3/4,**,3-3-2,36.4,5.0,3.0,446(-4),,,,[東]畠山吉宏,サラブレッドクラブ・ラフィアン,77.0
4,5,3,5,ユウチャファスト,牝3,54.0,北村宏司,1:37.2,1.1/4,**,7-5-4,36.3,16.7,6.0,454(-4),,,,[東]中舘英二,長谷川祐司,51.0
5,6,7,13,スパイラルバンブー,牝3,52.0,木幡育也,1:37.4,1.1/4,**,7-13-12,35.7,127.8,13.0,446(0),,,,[東]田村康仁,ジェイアール,
6,7,4,7,グランチーノ,牝3,54.0,津村明秀,1:37.5,1/2,**,7-8-9,36.3,69.4,11.0,454(-4),,,,[東]岩戸孝樹,小菅誠,
7,8,7,14,デルタ,牝3,54.0,和田竜二,1:37.9,2.1/2,**,5-7-7,36.9,69.2,10.0,442(+10),,,,[東]高橋文雅,村上欽哉,
8,9,8,16,ロジマジェスティ,牝3,54.0,丸山元気,1:38.2,1.3/4,**,7-9-11,36.9,9.0,4.0,422(+6),,,,[東]萩原清,久米田正明,
9,10,2,3,シエルヴァ,牝3,54.0,松岡正海,1:38.2,クビ,**,2-2-4,37.9,18.6,7.0,446(+12),,,,[東]武井亮,桑田牧場,
10,11,8,15,グラスピエーナ,牝3,54.0,嘉藤貴行,1:38.7,3,**,7-12-12,37.2,532.4,16.0,448(-2),,,,[東]田中清隆,半沢,
11,12,4,8,レジイナアン,牝3,54.0,松山弘平,1:38.7,アタマ,**,1-1-2,38.5,58.4,9.0,498(+18),,,,[東]斎藤誠,ＴＵＲＦレーシング,
12,13,3,6,ルージュルパン,牝3,54.0,ミナリク,1:39.1,2.1/2,**,12-9-9,37.8,36.5,8.0,432(-12),,,,[東]小笠倫弘,島川隆哉,
13,14,2,4,ゴールドシンガー,牝3,54.0,内田博幸,1:39.3,1.1/4,**,15-13-14,37.6,272.0,14.0,464(0),,,,[東]古賀慎明,居城寿与,
14,15,1,1,メロウスマイル,牝3,53.0,野中悠太,1:40.9,10,**,14-15-15,38.8,473.1,15.0,378(+2),,,,[東]小島茂之,ヒダカ・ブリーダーズ・ユニオン,
15,16,5,9,グラニュエル,牝3,54.0,大野拓弥,1:43.7,大,**,15-16-16,39.9,82.6,12.0,464(0),,,,[東]加藤征弘,広尾レース,
0,1,7,12,ステイホット,牝4,54.0,横山典弘,1:11.8,,**,2-2,37.5,5.3,3.0,476(+8),,,,[東]杉浦宏昭,小林善一,760.0
1,2,5,9,シークエル,牝5,54.0,菊沢一樹,1:12.1,1.3/4,**,1-1,38.0,10.1,5.0,532(-16),,,,[東]菊沢隆徳,ノルマンディーサラブレッドレーシング,300.0
2,3,2,3,アテンフェアリー,牝4,54.0,岩部純二,1:12.2,3/4,**,9-8,37.0,157.9,13.0,464(+2),,,,[東]萱野浩二,齊藤直信,190.0
3,4,4,6,アッシャムス,牝4,54.0,松岡正海,1:12.3,1/2,**,12-10,36.8,21.7,9.0,484(+2),,,,[東]武井亮,桑田牧場,110.0
4,5,8,15,ハルワタート,牝4,54.0,横山武史,1:12.5,1.1/4,**,2-2,38.3,7.1,4.0,472(+14),,,,[東]斎藤誠,下河辺牧場,76.0
5,6,2,2,セイドアモール,牝4,54.0,丹内祐次,1:12.5,クビ,**,4-4,38.1,3.3,1.0,500(+14),,,,[東]武市康男,サラブレッドクラブ・ラフィアン,
6,7,4,7,トーアシオン,牡4,56.0,江田照男,1:12.5,ハナ,**,7-6,37.7,4.7,2.0,500(+2),,,,[東]星野忍,高山ランド,
7,8,1,1,コウユークロガヨカ,牡4,56.0,内田博幸,1:12.6,クビ,**,9-11,37.4,12.0,6.0,474(+6),,,,[東]竹内正洋,加治屋貞光,
8,9,8,14,ニシノアマタ,牝4,53.0,野中悠太,1:12.6,ハナ,**,8-8,37.5,41.9,11.0,468(+10),,,,[東]根本康広,西山茂行,
9,10,3,4,カッチョエペペ,牝4,54.0,木幡巧也,1:12.6,クビ,**,12-12,37.1,18.7,7.0,444(+4),,,,[東]牧光二,平田修,
10,11,7,13,アイムソーグレイト,牡4,56.0,柴田善臣,1:12.7,1/2,**,14-13,36.7,32.6,10.0,464(+2),,,,[東]藤原辰雄,平井裕,
11,12,5,8,シゲルジルコン,牝4,54.0,西田雄一,1:12.8,クビ,**,4-5,38.4,68.5,12.0,492(+2),,,,[東]田中剛,森中蕃,
12,13,6,11,ファインダッシュ,牡8,57.0,田中勝春,1:12.8,クビ,**,14-15,36.8,19.5,8.0,522(+4),,,,[東]的場均,井山登,
13,14,3,5,キョウエイガウディ,牡6,54.0,小林凌大,1:13.2,2.1/2,**,6-6,38.5,194.2,14.0,512(0),,,,[東]中川公成,田中晴夫,
14,15,6,10,クリノモリゾ,牝5,55.0,木幡初也,1:14.7,9,**,11-13,39.3,248.0,15.0,446(-11),,,,[東]天間昭一,栗本博晴,
0,1,5,9,フォースオブウィル,牡3,56.0,宮崎北斗,1:36.4,,**,12-10-9,35.2,21.6,7.0,456(0),,,,[東]粕谷昌央,柳原克哉,600.0
1,2,3,5,リーガルバトル,牡3,54.0,マーフィ,1:36.6,1.1/4,**,3-2-2,36.4,2.9,1.0,504(0),,,,[東]高橋文雅,吉田和美,240.0
2,3,5,10,ボウイッシュ,牝3,54.0,武藤雅,1:37.1,3,**,13-14-12,35.5,94.8,13.0,438(0),,,,[東]戸田博文,山岡重行,150.0
3,4,1,1,コスモストライカー,牡3,54.0,丹内祐次,1:37.3,1.1/4,**,6-5-5,36.8,11.7,5.0,478(0),,,,[東]加藤士津,ビッグレッドファーム,90.0
4,5,3,6,ムーンライトリバー,牝3,54.0,柴田善臣,1:37.3,クビ,**,3-3-3,36.9,4.8,3.0,436(0),,,,[東]中野栄治,山口正行,60.0
5,6,8,16,レオハイセンス,牝3,54.0,黛弘人,1:37.5,1,**,6-7-7,36.7,54.9,9.0,444(0),,,,[東]奥平雅士,レオ,
6,7,1,2,スズオリーブ,牝3,54.0,内田博幸,1:37.6,1/2,**,2-3-3,37.2,82.6,12.0,430(0),,,,[東]高橋裕,森達郎,
7,8,8,15,コミックラン,牡3,56.0,木幡巧也,1:37.6,ハナ,**,10-10-9,36.5,39.5,8.0,460(0),,,,[東]牧光二,岡村善行,
8,9,4,7,テイエムクロホマレ,牡3,56.0,嘉藤貴行,1:37.7,1/2,**,10-7-7,36.9,276.9,14.0,468(0),,,,[東]石栗龍彦,竹園正繼,
9,10,6,11,ペイシャスワン,牝3,51.0,山田敬士,1:37.9,1.1/4,**,6-7-5,37.2,57.5,11.0,454(0),,,,[東]本間忍,北所直人,
10,11,2,3,スヴァジルファリ,牡3,56.0,横山武史,1:38.2,2,**,1-1-1,38.0,10.3,4.0,552(0),,,,[東]池上昌和,吉田千津,
11,12,4,8,アルファライン,牡3,56.0,松岡正海,1:38.4,1.1/4,**,16-16-15,35.5,56.3,10.0,466(0),,,,[東]小島茂之,田原邦男,
12,13,2,4,スティルアリス,牝3,54.0,北村宏司,1:38.4,クビ,**,13-13-14,36.9,18.4,6.0,516(0),,,,[東]木村哲也,下河辺隆行,
13,14,7,13,レッドジョコンダ,牝3,54.0,Ｍ．デム,1:38.6,1,**,9-10-12,37.5,3.2,2.0,538(0),,,,[東]藤沢和雄,東京ホースレーシング,
14,15,7,14,エアリアルシティー,牡3,56.0,岩部純二,1:38.7,1/2,**,3-5-9,38.2,372.9,16.0,480(0),,,,[東]石毛善彦,ミルファーム,
15,16,6,12,ルティナアスール,牝3,54.0,菅原隆一,1:39.4,4,**,13-15-16,36.8,368.8,15.0,400(0),,,,[東]石毛善彦,アスール,
0,1,5,10,ネガイ,牝4,54.0,津村明秀,2:15.8,,**,8-7-7-4,35.5,5.6,4.0,458(+2),,,,[東]奥村武,石川達絵,760.0
1,2,4,7,エレベル,牝4,54.0,田辺裕信,2:16.0,1.1/4,**,10-10-10-6,35.4,20.6,7.0,412(+2),,,,[東]中舘英二,吉田照哉,300.0
2,3,3,6,スマイル,牡4,56.0,Ｍ．デム,2:16.0,クビ,**,4-4-9-12,35.6,4.6,3.0,522(+18),,,,[東]堀宣行,石川達絵,190.0
3,4,2,4,ラヴィアンレーヴ,牡4,56.0,マーフィ,2:16.2,1.1/4,**,7-7-10-10,35.7,4.5,2.0,446(-2),,,,[東]田村康仁,キャロットファーム,110.0
4,5,2,3,ジューンバラード,牝4,54.0,吉田隼人,2:16.2,クビ,**,14-16-16-15,34.8,54.2,12.0,426(0),,,,[東]堀井雅広,吉川潤,76.0
5,6,6,12,アルスラーン,牡5,54.0,小林凌大,2:16.3,3/4,**,5-5-7-6,36.0,42.9,10.0,498(0),,,,[東]小西一男,小泉修,
6,7,3,5,マイネルミュトス,牡4,56.0,丹内祐次,2:16.3,ハナ,**,12-14-13-12,35.5,14.0,6.0,472(-2),,,,[東]鹿戸雄一,サラブレッドクラブ・ラフィアン,
7,8,8,15,フラッフィーベア,牝4,51.0,藤田菜七,2:16.3,ハナ,**,3-3-3-6,36.3,30.2,8.0,438(+8),,,,[東]田中清隆,フジワラ・ファーム,
8,9,8,16,パシフィスタ,セ4,56.0,西田雄一,2:16.4,1/2,**,8-7-3-3,36.5,53.9,11.0,462(-22),,,,[東]中川公成,キャロットファーム,
